frequency_threshold | learning_rate | epoch_limit | batch_size |	Accuracy | Precision | Recall
300	10	200	800	89.15%	59.67%	69.23%
300	10	300	1	84.48%	46.05%	63.46%
300	10	300	100	88.88%	58.16%	73.08%
300	10	300	500	89.69%	61.58%	69.87%
300	10	300	800	89.06%	59.44%	68.59%
300	100	1	1	87.80%	58.77%	42.95%
300	100	1	100	85.83%	48.72%	24.36%
300	100	1	500	89.15%	60.36%	65.38%
300	100	1	800	89.69%	63.95%	60.26%
300	100	50	1	87.62%	58.04%	41.67%
300	100	50	100	78.03%	37.46%	85.26%
300	100	50	500	80.99%	41.41%	86.54%
300	100	50	800	80.45%	40.83%	88.46%
300	100	100	1	86.55%	52.11%	47.44%
300	100	100	100	88.25%	59.84%	48.72%
300	100	100	500	77.13%	36.66%	87.18%
300	100	100	800	88.79%	61.65%	52.56%
300	100	200	1	82.78%	40.72%	50.64%
300	100	200	100	87.26%	63.46%	21.15%
300	100	200	500	89.06%	60.00%	65.38%
300	100	200	800	54.98%	23.05%	94.87%
300	100	300	1	83.32%	44.27%	74.36%
300	100	300	100	76.05%	35.51%	87.18%
300	100	300	500	88.16%	55.71%	75.00%
300	100	300	800	86.91%	52.10%	79.49%
10	0.01	1	1	94.62%	84.78%	75.00%
10	0.01	1	100	86.19%	100.00%	1.28%
10	0.01	1	500	86.10%	100.00%	0.64%
10	0.01	1	800	86.10%	100.00%	0.64%
10	0.01	50	1	96.77%	89.47%	87.18%
10	0.01	50	100	93.00%	87.50%	58.33%
10	0.01	50	500	87.89%	88.89%	15.38%
10	0.01	50	800	87.53%	90.48%	12.18%
10	0.01	100	1	97.04%	90.73%	87.82%
10	0.01	100	100	94.62%	86.36%	73.08%
10	0.01	100	500	90.31%	91.38%	33.97%
10	0.01	100	800	89.42%	93.18%	26.28%
10	0.01	200	1	96.68%	88.39%	87.82%
10	0.01	200	100	94.98%	86.76%	75.64%
10	0.01	200	500	92.38%	89.01%	51.92%
10	0.01	200	800	91.75%	92.11%	44.87%
10	0.01	300	1	96.77%	88.96%	87.82%
10	0.01	300	100	95.52%	87.86%	78.85%
10	0.01	300	500	93.09%	85.59%	60.90%
10	0.01	300	800	92.38%	86.60%	53.85%
10	0.1	1	1	95.96%	87.25%	83.33%
10	0.1	1	100	88.07%	89.66%	16.67%
10	0.1	1	500	86.28%	100.00%	1.92%
10	0.1	1	800	86.19%	100.00%	1.28%
10	0.1	50	1	96.77%	88.46%	88.46%
10	0.1	50	100	95.78%	88.11%	80.77%
10	0.1	50	500	94.71%	86.47%	73.72%
10	0.1	50	800	93.45%	84.30%	65.38%
